Linux 3.19.5-200.fc21.x86_64 (bark) 	07/25/2015 	_x86_64_	(8 CPU)

12:11:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:13:00 AM    6    1.32    0.00   35.81    0.00    0.00    3.15    0.00   38.35    0.00   21.36
12:13:00 AM    7    1.33    0.00   37.41    0.00    0.00    4.18    0.00   33.54    0.00   23.55

12:13:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:13:10 AM  all    1.35    0.00   35.89    0.00    0.00    4.27    0.00   34.39    0.00   24.10
12:13:10 AM    0    1.22    0.00   36.01    0.00    0.00    4.37    0.00   33.88    0.00   24.52
12:13:10 AM    1    1.64    0.00   35.18    0.00    0.00    4.51    0.00   32.00    0.00   26.67
12:13:10 AM    2    1.32    0.00   35.37    0.00    0.00    3.66    0.00   35.47    0.00   24.19
12:13:10 AM    3    1.02    0.00   36.67    0.00    0.00    3.98    0.00   29.93    0.00   28.40
12:13:10 AM    4    1.33    0.00   37.10    0.00    0.00    6.01    0.00   29.66    0.00   25.89
12:13:10 AM    5    1.32    0.00   37.07    0.00    0.00    3.97    0.00   36.76    0.00   20.88
12:13:10 AM    6    1.42    0.00   33.16    0.00    0.00    3.65    0.00   40.87    0.00   20.89
12:13:10 AM    7    1.33    0.00   36.80    0.00    0.00    3.87    0.00   36.60    0.00   21.41

12:13:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:13:20 AM  all    1.33    0.00   35.51    0.00    0.00    4.54    0.00   34.62    0.00   24.00
12:13:20 AM    0    1.33    0.00   36.54    0.00    0.00    4.40    0.00   29.89    0.00   27.84
12:13:20 AM    1    1.23    0.00   34.66    0.00    0.00    5.21    0.00   34.05    0.00   24.85
12:13:20 AM    2    1.23    0.00   36.61    0.00    0.00    3.99    0.00   31.49    0.00   26.69
12:13:20 AM    3    1.32    0.00   36.72    0.00    0.00    4.58    0.00   33.16    0.00   24.21
12:13:20 AM    4    1.22    0.00   37.03    0.00    0.00    4.17    0.00   34.99    0.00   22.58
12:13:20 AM    5    1.23    0.00   33.54    0.00    0.00    5.01    0.00   38.96    0.00   21.27
12:13:20 AM    6    1.42    0.00   36.85    0.00    0.00    5.79    0.00   30.46    0.00   25.48
12:13:20 AM    7    1.72    0.00   32.05    0.00    0.00    3.04    0.00   43.81    0.00   19.37

12:13:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:13:30 AM  all    1.33    0.00   35.41    0.05    0.00    4.35    0.00   34.57    0.00   24.30
12:13:30 AM    0    1.74    0.00   35.62    0.00    0.00    3.99    0.00   29.48    0.00   29.17
12:13:30 AM    1    1.33    0.00   38.14    0.00    0.00    4.70    0.00   27.40    0.00   28.43
12:13:30 AM    2    0.91    0.00   39.13    0.00    0.00    5.08    0.00   27.64    0.00   27.24
12:13:30 AM    3    1.64    0.00   29.10    0.20    0.00    3.89    0.00   42.21    0.00   22.95
12:13:30 AM    4    1.53    0.00   33.67    0.00    0.00    3.67    0.00   38.78    0.00   22.35
12:13:30 AM    5    1.53    0.00   35.17    0.00    0.00    4.09    0.00   34.05    0.00   25.15
12:13:30 AM    6    1.43    0.00   36.33    0.00    0.00    5.92    0.00   31.73    0.00   24.59
12:13:30 AM    7    0.81    0.00   36.23    0.00    0.00    3.53    0.00   44.90    0.00   14.53

12:13:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:13:40 AM  all    1.44    0.00   35.47    0.00    0.00    4.30    0.00   34.83    0.00   23.97
12:13:40 AM    0    1.13    0.00   36.58    0.00    0.00    4.51    0.00   30.12    0.00   27.66
12:13:40 AM    1    1.12    0.00   37.65    0.00    0.00    5.10    0.00   26.02    0.00   30.10
12:13:40 AM    2    1.33    0.00   36.39    0.00    0.00    4.08    0.00   34.86    0.00   23.34
12:13:40 AM    3    1.52    0.00   32.99    0.10    0.00    3.76    0.00   38.98    0.00   22.64
12:13:40 AM    4    1.62    0.00   35.90    0.00    0.00    4.06    0.00   34.69    0.00   23.73
12:13:40 AM    5    1.83    0.00   36.59    0.00    0.00    4.17    0.00   33.33    0.00   24.09
12:13:40 AM    6    1.32    0.00   34.89    0.00    0.00    4.27    0.00   38.96    0.00   20.55
12:13:40 AM    7    1.42    0.00   32.62    0.00    0.00    4.46    0.00   41.74    0.00   19.76

12:13:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:13:50 AM  all    1.34    0.00   35.73    0.00    0.00    4.06    0.00   34.56    0.00   24.31
12:13:50 AM    0    1.72    0.00   32.83    0.00    0.00    2.94    0.00   38.30    0.00   24.21
12:13:50 AM    1    1.13    0.00   37.54    0.00    0.00    4.21    0.00   31.18    0.00   25.95
12:13:50 AM    2    1.53    0.00   32.76    0.00    0.00    2.45    0.00   39.18    0.00   24.08
12:13:50 AM    3    1.33    0.00   36.02    0.00    0.00    4.59    0.00   31.53    0.00   26.53
12:13:50 AM    4    1.33    0.00   36.60    0.00    0.00    3.57    0.00   36.49    0.00   22.02
12:13:50 AM    5    1.33    0.00   37.39    0.00    0.00    5.21    0.00   29.72    0.00   26.35
12:13:50 AM    6    1.33    0.00   35.58    0.00    0.00    3.36    0.00   38.74    0.00   21.00
12:13:50 AM    7    1.03    0.00   37.51    0.00    0.00    5.96    0.00   31.14    0.00   24.36

12:13:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:14:00 AM  all    1.45    0.00   35.49    0.01    0.00    4.28    0.00   34.37    0.00   24.39
12:14:00 AM    0    1.43    0.00   35.89    0.00    0.00    4.50    0.00   27.91    0.00   30.27
12:14:00 AM    1    1.43    0.00   35.82    0.00    0.00    4.90    0.00   33.37    0.00   24.49
12:14:00 AM    2    1.13    0.00   36.85    0.00    0.00    4.91    0.00   29.27    0.00   27.84
12:14:00 AM    3    1.32    0.00   35.30    0.10    0.00    2.95    0.00   39.06    0.00   21.26
12:14:00 AM    4    1.52    0.00   36.88    0.00    0.00    4.26    0.00   32.93    0.00   24.42
12:14:00 AM    5    1.83    0.00   33.33    0.00    0.00    3.76    0.00   40.75    0.00   20.33
12:14:00 AM    6    1.22    0.00   36.61    0.00    0.00    5.27    0.00   33.47    0.00   23.43
12:14:00 AM    7    1.63    0.00   33.23    0.00    0.00    3.87    0.00   38.23    0.00   23.04

12:14:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:14:10 AM  all    1.34    0.00   35.34    0.00    0.00    4.29    0.00   34.63    0.00   24.40
12:14:10 AM    0    1.43    0.00   34.49    0.00    0.00    4.61    0.00   33.06    0.00   26.41
12:14:10 AM    1    1.32    0.00   35.29    0.00    0.00    4.06    0.00   33.06    0.00   26.27
12:14:10 AM    2    1.74    0.00   34.73    0.00    0.00    2.66    0.00   35.45    0.00   25.41
12:14:10 AM    3    1.23    0.00   36.31    0.00    0.00    4.31    0.00   28.62    0.00   29.54
12:14:10 AM    4    1.12    0.00   36.35    0.00    0.00    5.18    0.00   33.91    0.00   23.45
12:14:10 AM    5    0.92    0.00   36.12    0.00    0.00    6.53    0.00   32.96    0.00   23.47
12:14:10 AM    6    1.32    0.00   34.65    0.00    0.00    3.66    0.00   40.96    0.00   19.41
12:14:10 AM    7    1.52    0.00   34.58    0.00    0.00    3.35    0.00   39.05    0.00   21.50

12:14:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:14:20 AM  all    1.36    0.00   35.62    0.04    0.00    4.17    0.00   34.45    0.00   24.36
12:14:20 AM    0    1.63    0.00   32.35    0.10    0.00    2.54    0.00   37.23    0.00   26.14
12:14:20 AM    1    0.91    0.00   38.07    0.20    0.00    5.79    0.00   27.41    0.00   27.61
12:14:20 AM    2    1.64    0.00   37.23    0.00    0.00    4.82    0.00   26.46    0.00   29.85
12:14:20 AM    3    1.54    0.00   33.27    0.00    0.00    3.28    0.00   39.61    0.00   22.31
12:14:20 AM    4    1.62    0.00   32.25    0.00    0.00    2.84    0.00   45.54    0.00   17.75
12:14:20 AM    5    1.22    0.00   35.20    0.00    0.00    5.09    0.00   36.32    0.00   22.18
12:14:20 AM    6    1.33    0.00   39.26    0.00    0.00    5.21    0.00   27.30    0.00   26.89
12:14:20 AM    7    1.32    0.00   37.46    0.00    0.00    3.86    0.00   35.43    0.00   21.93

12:14:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:14:30 AM  all    1.40    0.00   35.14    0.05    0.00    4.35    0.00   34.59    0.00   24.46
12:14:30 AM    0    1.32    0.00   34.76    0.00    0.00    3.76    0.00   34.04    0.00   26.12
12:14:30 AM    1    1.54    0.00   34.70    0.41    0.00    5.03    0.00   31.11    0.00   27.21
12:14:30 AM    2    1.22    0.00   36.17    0.00    0.00    4.66    0.00   30.50    0.00   27.46
12:14:30 AM    3    1.65    0.00   33.85    0.00    0.00    3.60    0.00   35.60    0.00   25.31
